股票代码,统计日期,营业总收入,营业收入,营业总成本,营业成本,税金及附加,销售费用,管理费用,财务费用,资产减值损失,投资收益,营业利润,营业外收入,营业外支出,利润总额,所得税,净利润,归属于母公司所有者的净利润,综合收益总额,归属于母公司普通股东综合收益总额
300013,2015/9/30,342409694.1,342409694.1,343266591.3,256544762.5,828413.18,18656971.56,65966076.84,2138399.5,-868032.21,8249635.16,7392737.92,1565518.81,798555.12,8159701.61,5922131.18,2237570.43,969391.78,2315384.1,1039322.54
300013,2015/12/31,590274020.1,590274020.1,695494393.5,432961790.2,2131281.83,35836003.63,115936103.8,3134019.27,105495194.8,5414162.94,-99806210.39,6142883.84,6933924.87,-100597251.4,7626658.79,-108223910.2,-109745682.9,-108123833.1,-109643668.2
300013,2016/3/31,199525313.8,199525313.8,193702366.5,136108626.9,1306232.3,13317761.25,39945679.7,2854961.39,169104.89,2952403.22,8775350.57,419684.51,371260.66,8823774.42,3103904.74,5719869.68,5875674.1,5655042.88,5802744.59
300013,2016/6/30,339134895.4,339134895.4,350782059.8,236436414.6,1512657.23,32162951.52,76658647.85,4145485.07,-134096.43,3295866.55,-8351297.83,20372650.41,487067.47,11534285.11,6605937.6,4928347.51,4690608.1,5047303.23,4797194.17
300013,2016/9/30,554269706.6,554269706.6,548168260.6,373709878.8,2433636.65,47286736.18,116304485.1,5455525.16,2977998.78,5413833.16,11515279.16,22409817.38,710121.48,33214975.06,8988503.27,24226471.79,24439925.64,24104346.33,24304182.66
300013,2016/12/31,758686910.4,758686910.4,724870959.6,482716803.8,5640526.48,61034098.14,164860870.6,7741469.75,2877190.84,6629712.84,40445663.65,44341961.81,3766002.64,81021622.82,20608606.77,60413016.05,60983629.4,152907608.2,153452619.1
300072,2015/3/31,681175598.1,681175598.1,561012698.7,417040096.5,6230948.47,26270982.22,53192025.2,57058547.86,1220098.45,-2712344.98,117506367.4,692235.24,560,118198042.7,19999380.36,98198662.29,102363891.7,98198662.29,102363891.7
300072,2015/6/30,2213935728,2213935728,1748389537,1389252557,26445464.76,44130602.01,104247281.1,124925788.8,59387843.73,-54559.71,465491630.9,1406300.88,44895.11,466853036.7,67000304.82,399852731.9,402857852.3,399852731.9,402857852.3
300072,2015/9/30,3832467648,3832467648,3148449963,2533604217,48942937.62,70420829.15,176423135,190350536.1,128708308,193119.96,684210805.3,3221030.3,44895.11,687386940.5,104924489.8,582462450.7,583928669.1,582462450.7,583928669.1
300072,2015/12/31,5698115188,5698115188,4742507180,3844435172,59115504.78,96349140.24,264372801.7,299105424.2,179129137.1,876714.22,956484721.8,6765013.83,44895.11,963204840.5,148791241.3,814413599.2,820564804,814413599.2,820564804
300131,2015/3/31,50358823.4,50358823.4,49328622.62,41695778.96,191180.27,3211749.11,8279032.12,2623011.64,-6672129.48,259929.62,1179591.63,436130.63,15938.97,1599783.29,171628.23,1428155.06,975631.85,1439969.03,985130.53
300131,2015/6/30,111249306.8,111249306.8,110278020,85806000.66,582899.45,6833452.48,20015325.28,3400634.33,-6360292.17,201342.94,1062090.93,4043837.47,23990.35,5081938.05,1012176.88,4069761.17,3757942.97,4070091.67,3759818.1
300131,2015/9/30,810574308.9,810574308.9,774340594.9,731500243.8,997661.28,22165796.57,36282814.07,-3676802.66,-12929118.18,277537.46,36400712.73,4234558.13,170415.73,40464855.13,12013416.27,28451438.86,27445277.88,28658701.13,27592211.54
300131,2015/12/31,1771394932,1771394932,1723734152,1589805829,1571473.05,48297709.57,71243332,-4092814.8,16908623.6,277537.46,47827778.97,6906890.69,1811390.98,52923278.68,15563852.91,37359425.77,37615641.95,37698450.6,37801591.01
