股票代码,统计日期,货币资金,应收账款,预付账款,其他应收款,存货,流动资产合计,固定资产,无形资产,非流动资产合计,资产总计,应付账款,预收账款,应付职工薪酬,应交税费,其他应付款,流动负债合计,非流动负债合计,负债合计,实收资本（股本）,资本公积,盈余公积,归属于母公司所有者权益合计,所有者权益合计,负债及股东权益总计,流动资产/流动负债,有形资产/总资产
301,2016/9/30,689670471.4,50686435.73,19725588.93,34777906.68,551708525.1,1744883641,600910506.9,367858334.2,2983748399,4728632040,427839700.1,81738961.64,81611435.86,37895956.81,41986498.4,988529939.8,420054591,1408584531,1218236445,636578471.1,246627820.6,3316123068,3320047509,4728632040,1.765129786,0.496083038
301,2016/12/31,427979203.5,40207114.83,65260628.39,6239510.89,549632555.8,1514172908,632316899.5,365660144.1,3453584608,4967757516,481240975.8,108747672,90980629.34,25227679.57,43211466.77,1056035810,445145747.6,1501181558,1218236445,643004292,264339043.4,3462862526,3466575958,4967757516,1.433827237,0.432084255
417,2015/3/31,3462600444,83386871.57,311441190.4,143607247.5,815309719.3,4816345472,1072113853,924036760.9,3162894669,7979240141,814323228.6,2272279102,39943959.36,-69439790.55,384308349.7,3889895295,254090279.6,4143985575,779884200,308823427.2,561907318.1,3362562977,3835254567,7979240141,1.23816841,0.737972441
417,2015/6/30,3104657945,66776795.79,269431956.6,148138072.3,850284861.1,4439289631,1051958971,981104697.7,3209562232,7648851863,685454074,2137959476,51379738.72,-167597966.4,422107174,3585245632,300005889.7,3885251522,779884200,308823427.2,561907318.1,3290375997,3763600341,7648851863,1.238210735,0.717918022
417,2015/9/30,2966611512,94189033.25,229664865.6,159948615.5,965755027.3,4452169054,1028430805,1001161940,3405763152,7857932206,720016106.8,2320254862,45998161.5,-120566605.4,472280287,3788873357,253451345.2,4042324702,779884200,308823427.2,561907318.1,3331206563,3815607504,7857932206,1.175064098,0.697460822
417,2015/12/31,2718895995,46694668.24,219088837.4,167101439.8,1022101155,4456225663,1326908190,994287469.2,3838699705,8294925369,826530972.7,2107161162,81136359.66,331105706.2,524937890.9,4163146073,240011260.5,4403157334,779884200,308823427.2,634126929.5,3377341822,3891768035,8294925369,1.070398584,0.697189377
417,2016/3/31,2581648584,96959119.83,336629561,162190515.6,1139694436,4648552064,1416560967,983243365.8,3960187079,8608739143,944122921.7,2064683252,42274093.4,302439326.9,519019431.6,4278763008,324053185.2,4602816193,779884200,308824867.8,634126929.5,3477848004,4005922950,8608739143,1.08642429,0.704529773
417,2016/6/30,2430329854,68320492.2,187503826.3,166352857.9,1153252832,4402758869,1437467636,1015071171,4002998295,8405757164,814431559,1913510534,56984177.32,295915210.1,585042582.8,4033573099,353568233.2,4387141332,779884200,308824867.8,634126929.5,3470797577,4018615832,8405757164,1.091528221,0.694788868
417,2016/9/30,2670365287,72404518.68,230819196.8,121764019,1191688690,4644428572,1513062815,1031770880,4064798531,8709227102,862328257.2,2044843308,55304467.78,325639191.3,594014087.4,4230155166,397076128.9,4627231295,779884200,308824867.8,634126929.5,3520881161,4081995807,8709227102,1.097933383,0.707007788
417,2016/12/31,3064065972,59189955.29,264413791.5,95829059.88,1242235192,5096599539,1393830481,1019624946,4101941775,9198541314,821904877.8,2161958066,91281200.78,404755237.5,532845723.2,4549761017,512297736.2,5062058753,779884200,308824867.8,706054869.8,3570954677,4136482561,9198541314,1.120190603,0.705593398
419,2015/3/31,901876291.2,14289330.93,59809634.11,48472663.91,427925671.8,1818304295,1120112408,269371140.9,1795765779,3614070075,396208945.9,121445174.7,530233.3,45343029.86,231459200.8,1599717450,61708991.76,1661426441,543582655,417395463.3,115803543.5,1832985980,1952643633,3614070075,1.136640908,0.813049178
419,2015/6/30,967685868.7,13968179.04,40452447.42,32379087.29,306931967.9,1824077015,1102811366,313710145.8,1817224850,3641301865,357096240.5,112430459.1,307611.64,39802950.08,224057538.5,1576115665,63478693.65,1639594359,543582655,417395463.3,115803543.5,1878760431,2001707507,3641301865,1.157324336,0.80380273
419,2015/9/30,880063312.7,26260596.56,57401237.82,15269874.09,437988702.4,1908565229,1085704041,311552434.3,1805703184,3714268413,302099412.9,122920425.5,390210.68,33984564.37,257977743.4,1687123222,64470158.41,1751593380,543582655,417395463.3,115803543.5,1836777132,1962675033,3714268413,1.131254199,0.806153174
419,2015/12/31,1052098572,10981165.8,14470879.54,10426261.53,346713636.7,2033238240,1064056439,308756855.7,1809754081,3842992322,426867997.2,150584021.7,278383.82,19499248.65,256729196.7,1808349713,63344170.86,1871693884,543582655,417395463.3,128246267.4,1843935514,1971298438,3842992322,1.124361193,0.805959112
419,2016/3/31,720076950.3,18962978.42,55291548.6,12601373.49,322090731.6,1743327804,1046844769,306040985.8,1877274862,3620602666,308233364.7,128223438.1,660147.15,26335506.97,243965074.6,1546548397,65536148.58,1612084545,543582655,417395463.3,128246267.4,1877567590,2008518121,3620602666,1.127237795,0.770637607
419,2016/6/30,854038545,14520026.94,50428098.89,11532971.14,233362807.7,1784694917,1029853434,303432433.4,1893016240,3677711156,341462875.5,113177781.3,758415.81,32012199.6,254248017.7,1556570155,66656395.69,1623226551,543582655,417395463.3,128246267.4,1918753793,2054484605,3677711156,1.146556042,0.765298913
419,2016/9/30,814920059.2,26319796.85,30711780.31,28366695.24,307979272.4,1816582693,1013725225,300760474,1905854226,3722436919,269975260.6,122847606.2,804520.96,18958366.69,264131180,1589457800,67184211.35,1656642011,543582655,417395463.3,128246267.4,1927025557,2065794908,3722436919,1.142894573,0.760337376
419,2016/12/31,1082176543,12884522.92,35528785.6,10528035.61,328415669.5,1969489297,1232670523,301678791.5,2008099466,3977588764,385918125,126097452.3,266471.81,20872133.4,352391605.6,1822006653,67902565.83,1889909219,543582655,417395463.3,136814987.3,1946184026,2087679545,3977588764,1.080945173,0.805050499
507,2015/3/31,361856837.4,391334289.7,195392127.4,75886444.64,63008568.19,1097540591,1747715879,240947385.1,4251822317,5349362908,240930790.9,106056612.4,28076606.26,-1792490.33,574678164.9,1623502639,1099776417,2723279055,789540919,764201611.3,138522789.9,2428985540,2626083853,5349362908,0.676032527,0.531886978
